position,track,artist,featured_artists
125,More,"K/DA With Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns & Seraphine",N/A
41,Reloj,Rauw Alejandro & Anuel AA,N/A
135,Diosa,Myke Towers + Natti Natasha + Anuel AA,N/A
1,All I Want For Christmas Is You,Mariah Carey,N/A
145,Party Starters,ARASHI,N/A
151,Sanmon Shosetsu,King Gnu,N/A
152,Weeeeee,Trippie Redd,N/A
154,Stay Down,"Lil Durk, 6LACK & Young Thug",N/A
155,Kids Again,Sam Smith,N/A
159,Dancing With A Stranger,Sam Smith & Normani,N/A
142,Highway To Hell,AC/DC,N/A
49,This Is Halloween,The Citizens of Halloween,N/A
175,Papi Chulo,Octavian & Skepta,N/A
52,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",N/A
83,Tu Me Dejaste de Querer,C. Tangana,Nino de Elche & La Hungara
94,Took Her To The O,King Von,N/A
105,Don't Need Friends,NAV,Lil Baby
110,Tragic,The Kid LAROI,YoungBoy Never Brok Again & Internet Money
114,Always Do,The Kid LAROI,N/A
121,The Code,King Von,Polo G
133,Young Wheezy,NAV With Gunna,N/A
2,Last Christmas,Wham!,N/A
151,"F*ck You, Goodbye",The Kid LAROI,Machine Gun Kelly
30,Paradise,MEDUZA & Dermot Kennedy,N/A
10,Without You,The Kid LAROI,N/A
12,The Business,Tiesto,N/A
178,Crazy Story 2.0,King Von,Lil Durk
180,La Luz,Sech & J Balvin,N/A
79,Starting Over,Chris Stapleton,N/A
192,Protect The Land,System Of A Down,N/A
2,Therefore I Am,Billie Eilish,N/A
33,Drankin N Smokin,Future & Lil Uzi Vert,N/A
37,Holiday,Lil Nas X,N/A
48,Stripes Like Burberry,Future & Lil Uzi Vert,N/A
76,That's It,Future & Lil Uzi Vert,N/A
2,Rockin' Around The Christmas Tree,Brenda Lee,N/A
85,Real Baby Pluto,Future & Lil Uzi Vert,N/A
89,Dime Como Quieres,Christian Nodal & Angela Aguilar,N/A
5,Santa Tell Me,Ariana Grande,N/A
4,Jingle Bell Rock,Bobby Helms,N/A
116,Marni On Me,Future & Lil Uzi Vert,N/A
122,Iris,Phoebe & Maggie,N/A
6,It's Beginning To Look A Lot Like Christmas,Michael Buble,N/A
125,Million Dollar Play,Future & Lil Uzi Vert,N/A
126,Sleeping On The Floor,Future & Lil Uzi Vert,N/A
7,It's The Most Wonderful Time Of The Year,Andy Williams,N/A
145,De Cora <3,Rauw Alejandro & J Balvin,N/A
151,Plastic,Future & Lil Uzi Vert,N/A
6,Underneath The Tree,Kelly Clarkson,N/A
